Id	SendName	Title	Content	ValidTime	RewardIds[1]	RewardIds[2]	RewardIds[3]	RewardIds[4]	RewardIds[5]	RewardIds[6]	RewardIds[7]	RewardIds[8]	RewardIds[9]	RewardIds[10]	RewardIds[11]	RewardIds[12]	RewardIds[13]	RewardIds[14]	RewardIds[15]	RewardIds[16]	RewardIds[17]	RewardIds[18]	RewardIds[19]	RewardIds[20]	RewardIds[21]	RewardIds[22]
11000	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名超过了99%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	500000	500001																				
11001	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名超过了95%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	500010	500011																				
11002	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名超过了90%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	500020	500021																				
11003	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名超过了70%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	500030	500031																				
11004	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名超过了5%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	500040	500041																				
12000	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名超过了99%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	510000	510001																				
12001	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名超过了95%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	510010	510011																				
12002	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名超过了90%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	510020	510021																				
12003	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名超过了70%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	510030	510031																				
12004	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名超过了5%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	510040	510041																				
13000	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名超过了99%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	520000	520001																				
13001	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名超过了95%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	520010	520011																				
13002	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名超过了90%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	520020	520021																				
13003	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名超过了70%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	520030	520031																				
13004	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名超过了5%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	520040	520041																				
14000	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名超过了99%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	560000	560001	560002																			
14001	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名超过了95%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	560010	560011	560012																			
14002	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名超过了90%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	560020	560021	560022																			
14003	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名超过了70%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	560030	560031																				
14004	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名超过了5%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	560040	560041																				
13005	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名处于1%以内。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	560120	560121																				
13006	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名处于1%~5%。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	560130	560131																				
13007	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名处于5%~10%。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	560140	560141																				
13008	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名处于10%~30%。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	560150	560151																				
13009	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名处于30%~50%。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	560160	560161																				
13010	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名处于50%~70%。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	560170	560171																				
13011	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名处于70%~100%。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	560180	560181																				
14005	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名处于1%以内。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	560050	560051	560052																			
14006	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名处于1%~5%。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	560060	560061	560062																			
14007	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名处于5%~10%。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	560070	560071	560072																			
14008	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名处于10%~30%。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	560080	560081																				
14009	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名处于30%~50%。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	560090	560091																				
14010	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名处于50%~70%。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	560100	560101																				
14011	空中花园指挥中心	幻痛囚笼排行奖励	尊敬的指挥官，您在本次【幻痛囚笼】活动中排名处于70%~100%。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	560110	560111																				
17001	空中花园指挥中心	列阵歼敌排行奖励	尊敬的指挥官，您在本轮【列阵】活动中排名超过了同等级段内99%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	3702000	3702001	3702002	3702003																		
17002	空中花园指挥中心	列阵歼敌排行奖励	尊敬的指挥官，您在本轮【列阵】活动中排名超过了同等级段内95%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	3702010	3702011	3702012	3702013																		
17003	空中花园指挥中心	列阵歼敌排行奖励	尊敬的指挥官，您在本轮【列阵】活动中排名超过了同等级段内90%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	3702020	3702021	3702022	3702023																		
17004	空中花园指挥中心	列阵歼敌排行奖励	尊敬的指挥官，您在本轮【列阵】活动中排名超过了同等级段内70%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	3702030	3702031	3702032																			
17005	空中花园指挥中心	列阵歼敌排行奖励	尊敬的指挥官，您在本轮【列阵】活动中排名超过了同等级段内5%的玩家。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	3702040	3702041	3702042																			
18001	空中花园指挥中心	飒棋战阵奖励	尊敬的指挥官，您在本轮【飒棋战阵】活动中击杀主目标所用次数为【1-15次】。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	180010	180011	180012	180013																		
18002	空中花园指挥中心	飒棋战阵奖励	尊敬的指挥官，您在本轮【飒棋战阵】活动中击杀主目标所用次数为【16-22次】。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	180020	180021	180022	180023																		
18003	空中花园指挥中心	飒棋战阵奖励	尊敬的指挥官，您在本轮【飒棋战阵】活动中击杀主目标所用次数为【23-29次】。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	180030	180031	180032	180033																		
18004	空中花园指挥中心	飒棋战阵奖励	尊敬的指挥官，您在本轮【飒棋战阵】活动中击杀主目标所用次数为【30-38次】。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	180040	180041	180042	180043																		
18005	空中花园指挥中心	飒棋战阵奖励	尊敬的指挥官，您在本轮【飒棋战阵】活动中击杀主目标所用次数为【39-50次】。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	180050	180051	180052	180053																		
18006	空中花园指挥中心	飒棋战阵奖励	尊敬的指挥官，您在本轮【飒棋战阵】活动中击杀主目标所用次数为【51-100次】。以下是您的奖励，请查收。望再接再厉，为伊甸回归大地做出贡献。	604800	180060	180061	180062	180063																		
19101	空中花园指挥中心	文化纪海选投票截止提醒	尊敬的指挥官，【伊甸文化纪】开幕纪典24进12的投票期将于今日20:00:00截止，截止后将无法投票。前往活动界面给心仪的选手投票吧！	604800																						
19102	空中花园指挥中心	文化纪24进18投票截止提醒	尊敬的指挥官，【伊甸文化纪】前日纪12进6的投票期将于今日20:00:00截止，截止后将无法投票。前往活动界面给心仪的选手投票吧！	604800																						
19103	空中花园指挥中心	文化纪18进6，上半场投票截止提醒	尊敬的指挥官，【伊甸文化纪】后日纪6进3的投票期将于今日20:00:00截止，截止后将无法投票。前往活动界面给心仪的选手投票吧！	604800																						
19104	空中花园指挥中心	文化纪18进6，下半场投票截止提醒	尊敬的指挥官，【伊甸文化纪】终场狂欢3进1的投票期将于今日20:00:00截止，截止后将无法投票。前往活动界面给心仪的选手投票吧！	604800																						
19105	空中花园指挥中心	文化纪6进3投票截止提醒	尊敬的指挥官，【伊甸文化纪】终场狂欢3进1的投票期将于今日20:00:00截止，截止后将无法投票。前往活动界面给心仪的选手投票吧！	604800																						
19106	空中花园指挥中心	文化纪3进1投票截止提醒	尊敬的指挥官，【伊甸文化纪】终场狂欢3进1的投票期将于今日20:00:00截止，截止后将无法投票。前往活动界面给心仪的选手投票吧！	604800																						
19201	空中花园指挥中心	文化纪海选公示期	尊敬的指挥官，【伊甸文化纪】开幕纪典24进12的热度支援结果已经出来啦，进入文化纪界面查看各个选手的晋升情况吧	604800																						
19202	空中花园指挥中心	文化纪24进18公示期	尊敬的指挥官，【伊甸文化纪】前日纪12进6的热度支援结果已经出来啦，进入文化纪界面查看各个选手的晋升情况吧	604800																						
19203	空中花园指挥中心	文化纪18进6，上半场已结束	尊敬的指挥官，【伊甸文化纪】后日纪6进3的热度支援结果已经出来啦，进入文化纪界面查看各个选手的晋升情况吧	604800																						
19204	空中花园指挥中心	文化纪18进6，下半场公示期	尊敬的指挥官，【伊甸文化纪】终场狂欢3进1的热度支援结果已经出来啦，进入文化纪界面查看各个选手的晋升情况吧	604800																						
19205	空中花园指挥中心	文化纪6进3公示期	尊敬的指挥官，【伊甸文化纪】后日纪6进3的热度支援结果已经出来啦，进入文化纪界面查看各个选手的晋升情况吧	604800																						
19206	空中花园指挥中心	文化纪3进1公示期	尊敬的指挥官，【伊甸文化纪】终场狂欢3进1的热度支援结果已经出来啦，进入文化纪界面查看各个选手的晋升情况吧	604800																						
19301	空中花园指挥中心	文化纪海选投票开始	尊敬的指挥官，【伊甸文化纪】开幕纪典24进12的投票期已经开始啦。前往活动界面给心仪的选手投票吧！	604800																						
